,feature,score
1460,"value__fft_coefficient__coeff_7__attr_""angle""|V_10m",0.0
1166,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_10|T",0.0
1475,"value__fft_coefficient__coeff_8__attr_""abs""|U_100m",0.0
1482,"value__fft_coefficient__coeff_8__attr_""angle""|U_10m",0.0
1481,"value__fft_coefficient__coeff_8__attr_""angle""|U_100m",0.0
1459,"value__fft_coefficient__coeff_7__attr_""angle""|V_100m",0.0
1163,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_5|V_100m",0.0
1480,"value__fft_coefficient__coeff_8__attr_""angle""|T",0.0
1479,"value__fft_coefficient__coeff_8__attr_""angle""|CLCT",0.0
1164,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_5|V_10m",0.0
1461,"value__fft_coefficient__coeff_7__attr_""imag""|CLCT",0.0
1477,"value__fft_coefficient__coeff_8__attr_""abs""|V_100m",0.0
1462,"value__fft_coefficient__coeff_7__attr_""imag""|T",0.0
1165,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_10|CLCT",0.0
1170,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_10|V_10m",0.0
1483,"value__fft_coefficient__coeff_8__attr_""angle""|V_100m",0.0
1484,"value__fft_coefficient__coeff_8__attr_""angle""|V_10m",0.0
1453,"value__fft_coefficient__coeff_7__attr_""abs""|V_100m",0.0
1454,"value__fft_coefficient__coeff_7__attr_""abs""|V_10m",0.0
1489,"value__fft_coefficient__coeff_8__attr_""imag""|V_100m",0.0
1455,"value__fft_coefficient__coeff_7__attr_""angle""|CLCT",0.0
1487,"value__fft_coefficient__coeff_8__attr_""imag""|U_100m",0.0
1486,"value__fft_coefficient__coeff_8__attr_""imag""|T",0.0
1470,"value__fft_coefficient__coeff_7__attr_""real""|U_10m",0.0
1471,"value__fft_coefficient__coeff_7__attr_""real""|V_100m",0.0
1168,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_10|U_10m",0.0
1463,"value__fft_coefficient__coeff_7__attr_""imag""|U_100m",0.0
1457,"value__fft_coefficient__coeff_7__attr_""angle""|U_100m",0.0
1458,"value__fft_coefficient__coeff_7__attr_""angle""|U_10m",0.0
1167,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_10|U_100m",0.0
1465,"value__fft_coefficient__coeff_7__attr_""imag""|V_100m",0.0
1473,"value__fft_coefficient__coeff_8__attr_""abs""|CLCT",0.0
1161,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_5|U_100m",0.0
1169,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_10|V_100m",0.0
1531,value__first_location_of_minimum|V_100m,0.0
1512,"value__fft_coefficient__coeff_9__attr_""imag""|U_10m",0.0
1603,value__index_mass_quantile__q_0.7|V_10m,0.0
1602,value__index_mass_quantile__q_0.7|V_100m,0.0
1601,value__index_mass_quantile__q_0.7|U_10m,0.0
1600,value__index_mass_quantile__q_0.7|U_100m,0.0
1599,value__index_mass_quantile__q_0.7|T,0.0
1598,value__index_mass_quantile__q_0.7|CLCT,0.0
1597,value__index_mass_quantile__q_0.6|V_10m,0.0
1596,value__index_mass_quantile__q_0.6|V_100m,0.0
1595,value__index_mass_quantile__q_0.6|U_10m,0.0
1594,value__index_mass_quantile__q_0.6|U_100m,0.0
1593,value__index_mass_quantile__q_0.6|T,0.0
1592,value__index_mass_quantile__q_0.6|CLCT,0.0
1604,value__index_mass_quantile__q_0.8|CLCT,0.0
1591,value__index_mass_quantile__q_0.4|V_10m,0.0
1589,value__index_mass_quantile__q_0.4|U_10m,0.0
1588,value__index_mass_quantile__q_0.4|U_100m,0.0
1587,value__index_mass_quantile__q_0.4|T,0.0
1586,value__index_mass_quantile__q_0.4|CLCT,0.0
1585,value__index_mass_quantile__q_0.3|V_10m,0.0
1584,value__index_mass_quantile__q_0.3|V_100m,0.0
1583,value__index_mass_quantile__q_0.3|U_10m,0.0
1582,value__index_mass_quantile__q_0.3|U_100m,0.0
1581,value__index_mass_quantile__q_0.3|T,0.0
1580,value__index_mass_quantile__q_0.3|CLCT,0.0
1579,value__index_mass_quantile__q_0.2|V_10m,0.0
1578,value__index_mass_quantile__q_0.2|V_100m,0.0
1590,value__index_mass_quantile__q_0.4|V_100m,0.0
1605,value__index_mass_quantile__q_0.8|T,0.0
1606,value__index_mass_quantile__q_0.8|U_100m,0.0
1607,value__index_mass_quantile__q_0.8|U_10m,0.0
1144,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_10|U_10m",0.0
1629,value__large_standard_deviation__r_0.1|T,0.0
1628,value__large_standard_deviation__r_0.1|CLCT,0.0
1627,value__large_standard_deviation__r_0.05|V_10m,0.0
1145,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_10|V_100m",0.0
1626,value__large_standard_deviation__r_0.05|V_100m,0.0
1625,value__large_standard_deviation__r_0.05|U_10m,0.0
1624,value__large_standard_deviation__r_0.05|U_100m,0.0
1623,value__large_standard_deviation__r_0.05|T,0.0
1146,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_10|V_10m",0.0
1622,value__large_standard_deviation__r_0.05|CLCT,0.0
1621,value__kurtosis|V_10m,0.0
1147,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_2|CLCT",0.0
1620,value__kurtosis|V_100m,0.0
1619,value__kurtosis|U_10m,0.0
